Data,Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Slope gradiient (%),Slope gradiient (%),Slope gradiient (%),Slope gradiient (%),Slope gradiient (%),Slope gradiient (%),Slope gradiient (%),Slope shape,Slope shape,Slope shape,Land Forms,Land Forms,Land Forms,Land Forms,Land Forms,Land Forms,Soil Depth (cm),Soil Depth (cm),Soil Depth (cm),Soil Depth (cm),Soil Depth (cm),Permeability (cm/hr),Permeability (cm/hr),Permeability (cm/hr),Permeability (cm/hr),Permeability (cm/hr),Permeability (cm/hr),Permeability (cm/hr),Soil texture,Soil texture,Soil texture,Altitudinal zone (m a.s.l.) ,Altitudinal zone (m a.s.l.) ,Altitudinal zone (m a.s.l.) ,Altitudinal zone (m a.s.l.) ,Altitudinal zone (m a.s.l.) ,Altitudinal zone (m a.s.l.) ,Altitudinal zone (m a.s.l.) ,Altitudinal zone (m a.s.l.) ,Altitudinal zone (m a.s.l.) ,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone,Agro-climatic zone
SLM Practices, < 250 ,251-500 ,501-750 ,751-1000 ,1001-1500 ,1501-2000 ,2001-3000 ,3001-4000 ,> 4000 ,Flat (0-2),Gentle           (3-5),Moderate (6-10),Rolling                   (11-15),Hilly                (16-30),Steep                 (31-60),Very steep (> 60),Concave,Uniform,Convex,Plain/Flat,Ridge,Mountain slope,Hill slope,Foot slope,Valley,Very shallow    (0-20),Shallow (21-50),Moderate deep             (51-80),Deep            (81-120),Very deep (> 120),Very slow (<0.13 cm/hr),Slow                              (0.13-0.5 cm/hr),Moderate slow (0.5-2.0 cm/hr),Moderate               (2.0-6.3 cm/hr),Moderate rapid                           (6.3-12.7 cm/hr),Rapid                    (12.7-25 cm/hr),Very rapid                       (>25 cm/hr),Course/light (sandy),"Medium (loamy, silty)",Fine/heavy (clay),< 100 ,101-500 ,501-1000 ,1001-1500 ,1501-2000 ,2001-2500 , 2501-3000 , 3001-4000 , > 4000,Dry Berha,Moist Berha,Dry Kolla,Mosit Kolla,Wet Kolla,Dry Weyna Dega,Moist Weyna Dega,Wet Weyna Dega,Dry Dega,Moist Dega,Wet Dega,Moist High Dega,Wet High Dega,Moist Wurch,Wet Wurch
Bench terrace,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stone walls ,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hillside terrace,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semi-circular bunds,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fanya Juu,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,??,??,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Level soil bund,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone bunds,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone faced soil bunds,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillside ditches ,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
